time	gold	totalValue	level	hpMax	manaMax	weapons
2026-01-27 21:36:35	13	100	2	90	30	Durandal,Gold,ManaStone,ManaStone,Rubyciel,Rubyciel,Shield,Shield
2026-01-27 21:37:36	0	70	1	69	30	Durandal,Gold,ManaStone,ManaStone,ManaStone,Rubyciel,Shield
